Пара;Стоимость лота;Размер лота
EURUSD;226.15;0.08
EURGBP;226.15;0.08
EURCHF;226.15;0.07
EURJPY;226.15;0.08
EURAUD;226.15;0.08
EURCAD;226.15;0.07
EURNZD;226.15;0.07
GBPUSD;283.5;0.06
USDCHF;200;0.09
USDJPY;200;0.09
AUDUSD;154.14;0.12
USDCAD;200;0.09
NZDUSD;138.82;0.13
GBPCHF;283.49;0.06
GBPJPY;283.49;0.06
GBPAUD;283.49;0.06
GBPCAD;283.49;0.06
GBPNZD;283.49;0.05
CHFJPY;207.28;0.08
AUDCHF;154.13;0.11
CADCHF;154.96;0.11
NZDCHF;138.81;0.11
AUDJPY;154.13;0.11
CADJPY;154.96;0.1
NZDJPY;138.81;0.11
AUDCAD;154.13;0.11
AUDNZD;154.13;0.1
NZDCAD;138.81;0.11
